ID,RaceID,ModelID,IconID,Name,Description,ColorationID
1001,1,1011,70014,大酋长,部落的大酋长。,ui_color_y
1002,1,1011,70014,大酋长,部落的大酋长。,ui_color_r
1003,1,1011,70014,大酋长,部落的大酋长。,ui_color_g
1004,1,1011,70014,大酋长,部落的大酋长。,ui_color_p
1005,1,1011,70014,大酋长,部落的大酋长。,ui_color_o
1011,1,1012,70015,战神,战神的盔甲，神圣不可侵犯。,ui_color_w
1013,1,1012,70015,战神,战神的盔甲，神圣不可侵犯。,ui_color_teal
1014,1,1012,70015,战神,战神的盔甲，神圣不可侵犯。,ui_color_y
1015,1,1012,70015,战神,战神的盔甲，神圣不可侵犯。,ui_color_0
1021,1,1013,70013,龙甲,钢铁的巨龙盔甲，刀枪不入。,ui_color_0
1022,1,1013,70013,龙甲,钢铁的巨龙盔甲，刀枪不入。,ui_color_y
1023,1,1013,70013,龙甲,钢铁的巨龙盔甲，刀枪不入。,ui_color_g
1024,1,1013,70013,龙甲,钢铁的巨龙盔甲，刀枪不入。,ui_color_b
1025,1,1013,70013,龙甲,钢铁的巨龙盔甲，刀枪不入。,ui_color_r
2001,2,1021,70008,大祭司,来自自然的大祭司之力。,ui_color_w
2002,2,1021,70008,大祭司,来自自然的大祭司之力。,ui_color_r
2003,2,1021,70008,大祭司,来自自然的大祭司之力。,ui_color_g
2004,2,1021,70008,大祭司,来自自然的大祭司之力。,ui_color_b
2005,2,1021,70008,大祭司,来自自然的大祭司之力。,ui_color_0
2011,2,1022,70009,天使,神圣的天使。,ui_color_y
2012,2,1022,70009,天使,神圣的天使。,ui_color_r
2013,2,1022,70009,天使,神圣的天使。,ui_color_w
2014,2,1022,70009,天使,神圣的天使。,ui_color_b
2015,2,1022,70009,天使,神圣的天使。,ui_color_p
2021,2,1023,70007,魔法女巫,红斗篷的魔法小女巫。,ui_color_r
2022,2,1023,70007,魔法女巫,红斗篷的魔法小女巫。,ui_color_0
2023,2,1023,70007,魔法女巫,红斗篷的魔法小女巫。,ui_color_y
2024,2,1023,70007,魔法女巫,红斗篷的魔法小女巫。,ui_color_w
2025,2,1023,70007,魔法女巫,红斗篷的魔法小女巫。,ui_color_p
3001,3,1031,70004,大法师,无所不能的大法师。,ui_color_p
3002,3,1031,70004,大法师,无所不能的大法师。,ui_color_g
3003,3,1031,70004,大法师,无所不能的大法师。,ui_color_y
3004,3,1031,70004,大法师,无所不能的大法师。,ui_color_b
3005,3,1031,70004,大法师,无所不能的大法师。,ui_color_teal
3011,3,1032,70006,飞羽,充满魔力的凤凰飞羽。,ui_color_b
3012,3,1032,70006,飞羽,充满魔力的凤凰飞羽。,ui_color_g
3013,3,1032,70006,飞羽,充满魔力的凤凰飞羽。,ui_color_0
3014,3,1032,70006,飞羽,充满魔力的凤凰飞羽。,ui_color_w
3015,3,1032,70006,飞羽,充满魔力的凤凰飞羽。,ui_color_r
3021,3,1033,70005,女王,高贵典雅不容置疑的女王陛下。,ui_color_b
3022,3,1033,70005,女王,高贵典雅不容置疑的女王陛下。,ui_color_w
3023,3,1033,70005,女王,高贵典雅不容置疑的女王陛下。,ui_color_g
3024,3,1033,70005,女王,高贵典雅不容置疑的女王陛下。,ui_color_r
3025,3,1033,70005,女王,高贵典雅不容置疑的女王陛下。,ui_color_0
3031,3,1034,70003,魅魔,妖艳迷人的魅魔。,ui_color_r
3032,3,1034,70003,魅魔,妖艳迷人的魅魔。,ui_color_g
3033,3,1034,70003,魅魔,妖艳迷人的魅魔。,ui_color_y
3034,3,1034,70003,魅魔,妖艳迷人的魅魔。,ui_color_p
3035,3,1034,70003,魅魔,妖艳迷人的魅魔。,ui_color_w
4001,4,1041,70011,恶魔猎手,令邪魔闻风丧胆的恶魔猎手。,ui_color_r
4002,4,1041,70011,恶魔猎手,令邪魔闻风丧胆的恶魔猎手。,ui_color_y
4003,4,1041,70011,恶魔猎手,令邪魔闻风丧胆的恶魔猎手。,ui_color_g
4004,4,1041,70011,恶魔猎手,令邪魔闻风丧胆的恶魔猎手。,ui_color_b
4005,4,1041,70011,恶魔猎手,令邪魔闻风丧胆的恶魔猎手。,ui_color_w
4011,4,1042,70010,王子,尊贵高雅的王子殿下。,ui_color_b
4012,4,1042,70010,王子,尊贵高雅的王子殿下。,ui_color_y
4013,4,1042,70010,王子,尊贵高雅的王子殿下。,ui_color_g
4014,4,1042,70010,王子,尊贵高雅的王子殿下。,ui_color_0
4015,4,1042,70010,王子,尊贵高雅的王子殿下。,ui_color_r
4021,4,1043,70012,游侠,放荡不羁的格罗亚游侠。,ui_color_b
4022,4,1043,70012,游侠,放荡不羁的格罗亚游侠。,ui_color_0
4023,4,1043,70012,游侠,放荡不羁的格罗亚游侠。,ui_color_r
4024,4,1043,70012,游侠,放荡不羁的格罗亚游侠。,ui_color_g
4025,4,1043,70012,游侠,放荡不羁的格罗亚游侠。,ui_color_p
